cd_conta_financeira	ds_conta_financeira	sk_normal_conta_financeira	ds_normal_conta_financeira
39	OPME (CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS)	10	CONSUMO DE MATERIAL HOSPITALAR E MEDICAMENTOS
50	MATERIAL EXPEDIENTE (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
51	GENEROS ALIMENTICIOS (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
54	MATERIAL HIGIENIZACAO (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
43	MATERIAL DE SEGURANCA (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
47	MATERIAL DESCARTAVEL (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
44	GAS GLP (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
53	COMBUSTIVEIS E LUBRIFICANTES (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
49	ENXOVAL/ROUPARIA (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
46	UTENSILIOS (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
48	MATERIAL MANUTENCAO (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
52	MATERIAL INFORMATICA (CONSUMO DE MATERIAIS GERAIS)	11	CONSUMO DE MATERIAIS GERAIS
56	SERV. LOCACAO DE MAQ/EQUIP ASSISTENCIAIS (SERVIÇOS TÉCNICOS E OPERACIONAIS)	12	SERVIÇOS TÉCNICOS E OPERACIONAIS
61	SERV. LAVANDERIA (SERVIÇOS TÉCNICOS E OPERACIONAIS)	12	SERVIÇOS TÉCNICOS E OPERACIONAIS
68	SERV. LOCACAO DE MAQ/EQUIP NÃO ASSISTENCIAIS (SERVIÇOS DE APOIO E LOGÍSTICA)	13	SERVIÇOS DE APOIO E LOGÍSTICA
62	SERV. LIMPEZA E HIGIENIZACAO (SERVIÇOS DE APOIO E LOGÍSTICA)	13	SERVIÇOS DE APOIO E LOGÍSTICA
67	SERV. TRATAMENTO DE RESIDUOS (SERVIÇOS DE APOIO E LOGÍSTICA)	13	SERVIÇOS DE APOIO E LOGÍSTICA
65	SERV. DEDETIZACAO (SERVIÇOS DE APOIO E LOGÍSTICA)	13	SERVIÇOS DE APOIO E LOGÍSTICA
71	PECAS E MATERIAIS DE MANUTENCAO - PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
75	PECAS E MATERIAIS DE MANUTENCAO - EQUIPAMENTOS (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
72	SERV. INST/MANUT. EQUIP. MEDICO-HOSPITALAR (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
69	SERV.OBRAS E REFORMAS (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
73	MANUTENCAO DE MAQUINAS E EQUIPAMENTOS (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
74	SERV. INST/MANUT. EQUIP. NÃO MEDICOS (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
70	SERV. MANUTENCAO PREDIAL (MANUTENCAO E ASSISTENCIA TECNICA)	14	MANUTENCAO E ASSISTENCIA TECNICA
76	SOFTWARE/LICENCAS (DESPESAS TECNOLOGIA DA INFORMACAO)	15	DESPESAS TECNOLOGIA DA INFORMACAO
78	SERV. INFORMATICA/SUPORTE TECNICO (DESPESAS TECNOLOGIA DA INFORMACAO)	15	DESPESAS TECNOLOGIA DA INFORMACAO
77	INTERNET (DESPESAS TECNOLOGIA DA INFORMACAO)	15	DESPESAS TECNOLOGIA DA INFORMACAO
79	SERV. LOCACAO DE EQUIPAMENTOS DE INFORMATICA (DESPESAS TECNOLOGIA DA INFORMACAO)	15	DESPESAS TECNOLOGIA DA INFORMACAO
81	FRETES E CARRETOS (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
82	SERV. DIVERSOS PJ/OUTROS (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
85	SERV. ADVOCATICIOS (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
88	SERV. CONTABEIS E AUDITORIA (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
84	SERV. DE ENGENHARIA/ARQUITETURA (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
87	SERV. ASSESSORIA TECNICA/GESTAO/ADMINISTRACAO (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
89	SERV. CONSULTORIA (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
86	SERV. ASSESSORIA, COMUNICACAO E MARKETING (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
83	SERV. ARMAZENAGEM/ARQUIVO (DESPESAS DE SERVICOS NÃO OPERACIONAIS)	16	DESPESAS DE SERVICOS NÃO OPERACIONAIS
92	DESPESAS COM VIAGENS E LOCOMOCOES (OUTRAS DESPESAS ADMINISTRATIVAS)	17	OUTRAS DESPESAS ADMINISTRATIVAS
94	COPIAS E REPRODUCOES (OUTRAS DESPESAS ADMINISTRATIVAS)	17	OUTRAS DESPESAS ADMINISTRATIVAS
91	BRINDES (OUTRAS DESPESAS ADMINISTRATIVAS)	17	OUTRAS DESPESAS ADMINISTRATIVAS
95	ASSINATURA DE JORNAIS E REVISTAS (OUTRAS DESPESAS ADMINISTRATIVAS)	17	OUTRAS DESPESAS ADMINISTRATIVAS
100	ENERGIA ELETRICA (UTILIDADES)	18	UTILIDADES
98	SERV. TELEFONIA (UTILIDADES)	18	UTILIDADES
101	AGUA (UTILIDADES)	18	UTILIDADES
103	DESPESAS C/ CARTORIO (TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS)	19	TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS
104	SERV. POSTAIS (TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS)	19	TAXAS ADMINISTRATIVAS E DE SERVIÇOS DIVERSOS
106	DESPESAS LEGAIS E JUDICIAIS (DESPESAS LEGAIS E JUDICIAIS)	20	DESPESAS LEGAIS E JUDICIAIS
109	ASSOCIACOES DE CLASSE (IMPOSTOS E TAXAS)	21	IMPOSTOS E TAXAS
108	IMPOSTOS, TAXAS, CONTRIB. E DESP. LEGAIS (IMPOSTOS E TAXAS)	21	IMPOSTOS E TAXAS
110	IMPOSTO PREDIAL TERRITORIAL URBANO (IPTU) (IMPOSTOS E TAXAS)	21	IMPOSTOS E TAXAS
112	DESPESAS DE SEGURO OUTROS (SEGUROS)	22	SEGUROS
114	DESPESAS BANCARIAS (DESPESAS FINANCEIRAS/BANCARIAS)	23	DESPESAS FINANCEIRAS/BANCARIAS
113	EMPRESTIMOS (DESPESAS FINANCEIRAS/BANCARIAS)	23	DESPESAS FINANCEIRAS/BANCARIAS
115	JUROS E MULTAS (DESPESAS FINANCEIRAS/BANCARIAS)	23	DESPESAS FINANCEIRAS/BANCARIAS
