cd_fornecedor	ds_fornecedor
113	FORNECEDOR 778
114	FORNECEDOR 101
115	FORNECEDOR 325
116	FORNECEDOR 41
117	FORNECEDOR 441
118	FORNECEDOR 959
119	FORNECEDOR 910
120	FORNECEDOR 986
121	FORNECEDOR 702
122	FORNECEDOR 571
123	FORNECEDOR 699
124	FORNECEDOR 926
125	FORNECEDOR 685
126	FORNECEDOR 654
127	FORNECEDOR 524
128	FORNECEDOR 674
129	FORNECEDOR 15
130	FORNECEDOR 704
131	FORNECEDOR 425
132	FORNECEDOR 1
133	FORNECEDOR 869
134	FORNECEDOR 837
135	FORNECEDOR 921
136	FORNECEDOR 954
137	FORNECEDOR 567
138	FORNECEDOR 207
139	FORNECEDOR 591
140	FORNECEDOR 71
141	FORNECEDOR 469
142	FORNECEDOR 532
143	FORNECEDOR 637
144	FORNECEDOR 321
145	FORNECEDOR 838
146	FORNECEDOR 951
147	FORNECEDOR 994
148	FORNECEDOR 100
149	FORNECEDOR 47
150	FORNECEDOR 130
151	FORNECEDOR 874
152	FORNECEDOR 625
153	FORNECEDOR 928
154	FORNECEDOR 796
155	FORNECEDOR 493
156	FORNECEDOR 619
157	FORNECEDOR 908
158	FORNECEDOR 503
159	FORNECEDOR 212
160	FORNECEDOR 828
161	FORNECEDOR 357
162	FORNECEDOR 106
163	FORNECEDOR 502
164	FORNECEDOR 525
165	FORNECEDOR 113
166	FORNECEDOR 578
167	FORNECEDOR 659
168	FORNECEDOR 919
169	FORNECEDOR 215
170	FORNECEDOR 318
171	FORNECEDOR 480
172	FORNECEDOR 300
173	FORNECEDOR 53
174	FORNECEDOR 490
175	FORNECEDOR 513
176	FORNECEDOR 169
177	FORNECEDOR 934
178	FORNECEDOR 640
179	FORNECEDOR 111
180	FORNECEDOR 888
181	FORNECEDOR 521
182	FORNECEDOR 716
183	FORNECEDOR 848
184	FORNECEDOR 286
185	FORNECEDOR 875
186	FORNECEDOR 218
187	FORNECEDOR 511
188	FORNECEDOR 899
189	FORNECEDOR 159
190	FORNECEDOR 156
191	FORNECEDOR 505
192	FORNECEDOR 287
193	FORNECEDOR 710
194	FORNECEDOR 999
195	FORNECEDOR 829
196	FORNECEDOR 25
197	FORNECEDOR 462
198	FORNECEDOR 682
199	FORNECEDOR 615
200	FORNECEDOR 826
201	FORNECEDOR 206
202	FORNECEDOR 622
203	FORNECEDOR 114
204	FORNECEDOR 268
205	FORNECEDOR 211
206	FORNECEDOR 139
207	FORNECEDOR 501
208	FORNECEDOR 176
209	FORNECEDOR 353
210	FORNECEDOR 831
211	FORNECEDOR 339
212	FORNECEDOR 491
213	FORNECEDOR 365
214	FORNECEDOR 373
215	FORNECEDOR 616
216	FORNECEDOR 550
217	FORNECEDOR 304
218	FORNECEDOR 9
219	FORNECEDOR 554
220	FORNECEDOR 508
221	FORNECEDOR 433
222	FORNECEDOR 77
223	FORNECEDOR 54
224	FORNECEDOR 539
225	FORNECEDOR 80
226	FORNECEDOR 241
227	FORNECEDOR 96
228	FORNECEDOR 500
229	FORNECEDOR 420
230	FORNECEDOR 234
231	FORNECEDOR 144
232	FORNECEDOR 692
233	FORNECEDOR 13
234	FORNECEDOR 958
235	FORNECEDOR 243
236	FORNECEDOR 475
237	FORNECEDOR 782
238	FORNECEDOR 334
239	FORNECEDOR 121
240	FORNECEDOR 289
241	FORNECEDOR 717
242	FORNECEDOR 329
243	FORNECEDOR 984
244	FORNECEDOR 422
245	FORNECEDOR 757
246	FORNECEDOR 135
247	FORNECEDOR 570
248	FORNECEDOR 857
249	FORNECEDOR 205
250	FORNECEDOR 131
251	FORNECEDOR 485
252	FORNECEDOR 681
253	FORNECEDOR 473
254	FORNECEDOR 254
255	FORNECEDOR 262
256	FORNECEDOR 975
257	FORNECEDOR 122
258	FORNECEDOR 552
259	FORNECEDOR 37
260	FORNECEDOR 108
261	FORNECEDOR 333
262	FORNECEDOR 39
263	FORNECEDOR 696
264	FORNECEDOR 787
265	FORNECEDOR 83
266	FORNECEDOR 780
267	FORNECEDOR 595
268	FORNECEDOR 940
269	FORNECEDOR 179
270	FORNECEDOR 660
271	FORNECEDOR 87
272	FORNECEDOR 431
273	FORNECEDOR 344
274	FORNECEDOR 721
275	FORNECEDOR 770
276	FORNECEDOR 199
277	FORNECEDOR 75
278	FORNECEDOR 839
279	FORNECEDOR 714
280	FORNECEDOR 858
281	FORNECEDOR 40
282	FORNECEDOR 484
283	FORNECEDOR 369
284	FORNECEDOR 314
285	FORNECEDOR 695
286	FORNECEDOR 288
287	FORNECEDOR 417
288	FORNECEDOR 348
289	FORNECEDOR 718
290	FORNECEDOR 438
291	FORNECEDOR 470
292	FORNECEDOR 146
293	FORNECEDOR 603
294	FORNECEDOR 270
295	FORNECEDOR 69
296	FORNECEDOR 142
297	FORNECEDOR 371
298	FORNECEDOR 448
299	FORNECEDOR 402
300	FORNECEDOR 740
301	FORNECEDOR 89
302	FORNECEDOR 605
303	FORNECEDOR 327
304	FORNECEDOR 195
305	FORNECEDOR 436
306	FORNECEDOR 303
307	FORNECEDOR 67
308	FORNECEDOR 136
309	FORNECEDOR 152
310	FORNECEDOR 961
311	FORNECEDOR 209
312	FORNECEDOR 657
313	FORNECEDOR 408
314	FORNECEDOR 777
315	FORNECEDOR 792
316	FORNECEDOR 259
317	FORNECEDOR 396
318	FORNECEDOR 332
319	FORNECEDOR 912
320	FORNECEDOR 925
321	FORNECEDOR 216
322	FORNECEDOR 930
323	FORNECEDOR 812
324	FORNECEDOR 752
325	FORNECEDOR 789
